ball_x,ball_y,ball_vx,ball_vy,paddle_direction,paddle_y,Ball.RADIUS,Paddle.L,Paddle.STEP,WIDTH,HEIGHT,BORDER,VELOCITY,FPS
770,200,-12,12,0,200,10,80,20,800,400,20,12,30
770,200,-12,12,0,200,10,80,20,800,400,20,12,30
758,212,-12,12,0,200,10,80,20,800,400,20,12,30
746,224,-12,12,0,200,10,80,20,800,400,20,12,30
734,236,-12,12,0,200,10,80,20,800,400,20,12,30
722,248,-12,12,0,200,10,80,20,800,400,20,12,30
710,260,-12,12,0,200,10,80,20,800,400,20,12,30
698,272,-12,12,0,200,10,80,20,800,400,20,12,30
686,284,-12,12,0,200,10,80,20,800,400,20,12,30
674,296,-12,12,0,200,10,80,20,800,400,20,12,30
662,308,-12,12,0,200,10,80,20,800,400,20,12,30
650,320,-12,12,0,200,10,80,20,800,400,20,12,30
638,332,-12,12,0,200,10,80,20,800,400,20,12,30
626,344,-12,12,0,200,10,80,20,800,400,20,12,30
614,356,-12,12,0,200,10,80,20,800,400,20,12,30
602,368,-12,12,0,200,10,80,20,800,400,20,12,30
590,356,-12,-12,0,200,10,80,20,800,400,20,12,30
578,344,-12,-12,0,200,10,80,20,800,400,20,12,30
566,332,-12,-12,0,200,10,80,20,800,400,20,12,30
554,320,-12,-12,0,200,10,80,20,800,400,20,12,30
542,308,-12,-12,0,200,10,80,20,800,400,20,12,30
530,296,-12,-12,0,200,10,80,20,800,400,20,12,30
518,284,-12,-12,0,200,10,80,20,800,400,20,12,30
506,272,-12,-12,0,200,10,80,20,800,400,20,12,30
494,260,-12,-12,0,200,10,80,20,800,400,20,12,30
482,248,-12,-12,0,200,10,80,20,800,400,20,12,30
470,236,-12,-12,0,200,10,80,20,800,400,20,12,30
458,224,-12,-12,0,200,10,80,20,800,400,20,12,30
446,212,-12,-12,0,200,10,80,20,800,400,20,12,30
434,200,-12,-12,0,200,10,80,20,800,400,20,12,30
422,188,-12,-12,0,200,10,80,20,800,400,20,12,30
410,176,-12,-12,0,200,10,80,20,800,400,20,12,30
398,164,-12,-12,0,200,10,80,20,800,400,20,12,30
386,152,-12,-12,0,200,10,80,20,800,400,20,12,30
374,140,-12,-12,0,200,10,80,20,800,400,20,12,30
362,128,-12,-12,0,200,10,80,20,800,400,20,12,30
350,116,-12,-12,0,200,10,80,20,800,400,20,12,30
338,104,-12,-12,0,200,10,80,20,800,400,20,12,30
326,92,-12,-12,0,200,10,80,20,800,400,20,12,30
314,80,-12,-12,0,200,10,80,20,800,400,20,12,30
302,68,-12,-12,0,200,10,80,20,800,400,20,12,30
290,56,-12,-12,0,200,10,80,20,800,400,20,12,30
278,44,-12,-12,0,200,10,80,20,800,400,20,12,30
266,32,-12,-12,0,200,10,80,20,800,400,20,12,30
254,44,-12,12,0,200,10,80,20,800,400,20,12,30
242,56,-12,12,0,200,10,80,20,800,400,20,12,30
230,68,-12,12,0,200,10,80,20,800,400,20,12,30
218,80,-12,12,0,200,10,80,20,800,400,20,12,30
206,92,-12,12,0,200,10,80,20,800,400,20,12,30
194,104,-12,12,0,200,10,80,20,800,400,20,12,30
182,116,-12,12,0,200,10,80,20,800,400,20,12,30
170,128,-12,12,0,200,10,80,20,800,400,20,12,30
158,140,-12,12,0,200,10,80,20,800,400,20,12,30
146,152,-12,12,0,200,10,80,20,800,400,20,12,30
134,164,-12,12,0,200,10,80,20,800,400,20,12,30
122,176,-12,12,0,200,10,80,20,800,400,20,12,30
110,188,-12,12,0,200,10,80,20,800,400,20,12,30
98,200,-12,12,0,200,10,80,20,800,400,20,12,30
86,212,-12,12,0,200,10,80,20,800,400,20,12,30
74,224,-12,12,0,200,10,80,20,800,400,20,12,30
62,236,-12,12,0,200,10,80,20,800,400,20,12,30
50,248,-12,12,0,200,10,80,20,800,400,20,12,30
38,260,-12,12,0,200,10,80,20,800,400,20,12,30
50,272,12,12,0,200,10,80,20,800,400,20,12,30
62,284,12,12,0,200,10,80,20,800,400,20,12,30
74,296,12,12,0,200,10,80,20,800,400,20,12,30
86,308,12,12,0,200,10,80,20,800,400,20,12,30
98,320,12,12,0,200,10,80,20,800,400,20,12,30
110,332,12,12,0,200,10,80,20,800,400,20,12,30
122,344,12,12,0,200,10,80,20,800,400,20,12,30
134,356,12,12,0,200,10,80,20,800,400,20,12,30
146,368,12,12,0,200,10,80,20,800,400,20,12,30
158,356,12,-12,0,200,10,80,20,800,400,20,12,30
170,344,12,-12,0,200,10,80,20,800,400,20,12,30
182,332,12,-12,0,200,10,80,20,800,400,20,12,30
194,320,12,-12,0,200,10,80,20,800,400,20,12,30
206,308,12,-12,0,200,10,80,20,800,400,20,12,30
218,296,12,-12,0,200,10,80,20,800,400,20,12,30
230,284,12,-12,0,200,10,80,20,800,400,20,12,30
242,272,12,-12,0,200,10,80,20,800,400,20,12,30
254,260,12,-12,0,200,10,80,20,800,400,20,12,30
266,248,12,-12,0,200,10,80,20,800,400,20,12,30
278,236,12,-12,0,200,10,80,20,800,400,20,12,30
290,224,12,-12,0,200,10,80,20,800,400,20,12,30
302,212,12,-12,0,200,10,80,20,800,400,20,12,30
314,200,12,-12,0,200,10,80,20,800,400,20,12,30
326,188,12,-12,0,200,10,80,20,800,400,20,12,30
338,176,12,-12,0,200,10,80,20,800,400,20,12,30
350,164,12,-12,0,200,10,80,20,800,400,20,12,30
362,152,12,-12,0,200,10,80,20,800,400,20,12,30
374,140,12,-12,0,200,10,80,20,800,400,20,12,30
386,128,12,-12,0,200,10,80,20,800,400,20,12,30
398,116,12,-12,0,200,10,80,20,800,400,20,12,30
410,104,12,-12,0,200,10,80,20,800,400,20,12,30
422,92,12,-12,0,200,10,80,20,800,400,20,12,30
434,80,12,-12,0,200,10,80,20,800,400,20,12,30
446,68,12,-12,0,200,10,80,20,800,400,20,12,30
458,56,12,-12,0,200,10,80,20,800,400,20,12,30
470,44,12,-12,0,200,10,80,20,800,400,20,12,30
482,32,12,-12,0,200,10,80,20,800,400,20,12,30
494,44,12,12,0,200,10,80,20,800,400,20,12,30
506,56,12,12,0,200,10,80,20,800,400,20,12,30
518,68,12,12,0,200,10,80,20,800,400,20,12,30
530,80,12,12,0,200,10,80,20,800,400,20,12,30
542,92,12,12,0,200,10,80,20,800,400,20,12,30
554,104,12,12,0,200,10,80,20,800,400,20,12,30
566,116,12,12,0,200,10,80,20,800,400,20,12,30
578,128,12,12,0,200,10,80,20,800,400,20,12,30
590,140,12,12,0,200,10,80,20,800,400,20,12,30
602,152,12,12,0,200,10,80,20,800,400,20,12,30
614,164,12,12,0,200,10,80,20,800,400,20,12,30
626,176,12,12,0,200,10,80,20,800,400,20,12,30
638,188,12,12,0,200,10,80,20,800,400,20,12,30
650,200,12,12,0,200,10,80,20,800,400,20,12,30
662,212,12,12,0,200,10,80,20,800,400,20,12,30
674,224,12,12,0,200,10,80,20,800,400,20,12,30
686,236,12,12,0,200,10,80,20,800,400,20,12,30
698,248,12,12,0,200,10,80,20,800,400,20,12,30
710,260,12,12,0,200,10,80,20,800,400,20,12,30
722,272,12,12,0,200,10,80,20,800,400,20,12,30
734,284,12,12,0,200,10,80,20,800,400,20,12,30
746,296,12,12,0,200,10,80,20,800,400,20,12,30
758,308,12,12,0,200,10,80,20,800,400,20,12,30
770,320,12,12,0,200,10,80,20,800,400,20,12,30
782,332,12,12,0,200,10,80,20,800,400,20,12,30
758,191,-12,-9,0,200,10,80,20,800,400,20,12,30
746,182,-12,-9,0,200,10,80,20,800,400,20,12,30
734,173,-12,-9,0,200,10,80,20,800,400,20,12,30
722,164,-12,-9,0,200,10,80,20,800,400,20,12,30
710,155,-12,-9,0,200,10,80,20,800,400,20,12,30
698,146,-12,-9,0,200,10,80,20,800,400,20,12,30
686,137,-12,-9,0,200,10,80,20,800,400,20,12,30
674,128,-12,-9,0,200,10,80,20,800,400,20,12,30
662,119,-12,-9,0,200,10,80,20,800,400,20,12,30
650,110,-12,-9,0,200,10,80,20,800,400,20,12,30
638,101,-12,-9,0,200,10,80,20,800,400,20,12,30
626,92,-12,-9,0,200,10,80,20,800,400,20,12,30
614,83,-12,-9,0,200,10,80,20,800,400,20,12,30
602,74,-12,-9,0,200,10,80,20,800,400,20,12,30
590,65,-12,-9,0,200,10,80,20,800,400,20,12,30
578,56,-12,-9,0,200,10,80,20,800,400,20,12,30
566,47,-12,-9,0,200,10,80,20,800,400,20,12,30
554,38,-12,-9,0,200,10,80,20,800,400,20,12,30
542,47,-12,9,0,200,10,80,20,800,400,20,12,30
530,56,-12,9,0,200,10,80,20,800,400,20,12,30
518,65,-12,9,0,200,10,80,20,800,400,20,12,30
506,74,-12,9,0,200,10,80,20,800,400,20,12,30
494,83,-12,9,0,200,10,80,20,800,400,20,12,30
482,92,-12,9,0,200,10,80,20,800,400,20,12,30
470,101,-12,9,0,200,10,80,20,800,400,20,12,30
458,110,-12,9,0,200,10,80,20,800,400,20,12,30
446,119,-12,9,0,200,10,80,20,800,400,20,12,30
434,128,-12,9,0,200,10,80,20,800,400,20,12,30
422,137,-12,9,0,200,10,80,20,800,400,20,12,30
410,146,-12,9,0,200,10,80,20,800,400,20,12,30
398,155,-12,9,0,200,10,80,20,800,400,20,12,30
386,164,-12,9,0,200,10,80,20,800,400,20,12,30
374,173,-12,9,0,200,10,80,20,800,400,20,12,30
362,182,-12,9,0,200,10,80,20,800,400,20,12,30
350,191,-12,9,0,200,10,80,20,800,400,20,12,30
338,200,-12,9,0,200,10,80,20,800,400,20,12,30
326,209,-12,9,0,200,10,80,20,800,400,20,12,30
314,218,-12,9,0,200,10,80,20,800,400,20,12,30
302,227,-12,9,0,200,10,80,20,800,400,20,12,30
290,236,-12,9,0,200,10,80,20,800,400,20,12,30
278,245,-12,9,0,200,10,80,20,800,400,20,12,30
266,254,-12,9,0,200,10,80,20,800,400,20,12,30
254,263,-12,9,0,200,10,80,20,800,400,20,12,30
242,272,-12,9,0,200,10,80,20,800,400,20,12,30
230,281,-12,9,0,200,10,80,20,800,400,20,12,30
218,290,-12,9,0,200,10,80,20,800,400,20,12,30
206,299,-12,9,0,200,10,80,20,800,400,20,12,30
194,308,-12,9,0,200,10,80,20,800,400,20,12,30
